Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,86351,2004,12,15,2.6,1,Y
IDCJAC0009,86351,2004,12,16,0.0,,Y
IDCJAC0009,86351,2004,12,17,0.0,,Y
IDCJAC0009,86351,2004,12,18,0.0,,Y
IDCJAC0009,86351,2004,12,19,0.0,,Y
IDCJAC0009,86351,2004,12,20,0.2,1,Y
IDCJAC0009,86351,2004,12,21,0.0,,Y
IDCJAC0009,86351,2004,12,22,0.0,,Y
IDCJAC0009,86351,2004,12,23,0.0,,Y
IDCJAC0009,86351,2004,12,24,0.0,,Y
IDCJAC0009,86351,2004,12,25,0.0,,Y
IDCJAC0009,86351,2004,12,26,0.0,,Y
IDCJAC0009,86351,2004,12,27,1.7,1,Y
IDCJAC0009,86351,2004,12,28,15.0,1,Y
IDCJAC0009,86351,2004,12,29,13.0,1,Y
IDCJAC0009,86351,2004,12,30,0.0,,Y
IDCJAC0009,86351,2004,12,31,0.0,,Y
IDCJAC0009,86351,2005,01,01,0.0,,Y
IDCJAC0009,86351,2005,01,02,0.0,,Y
IDCJAC0009,86351,2005,01,03,0.0,,Y
IDCJAC0009,86351,2005,01,04,3.8,1,Y
IDCJAC0009,86351,2005,01,05,4.6,1,Y
IDCJAC0009,86351,2005,01,06,0.6,1,Y
IDCJAC0009,86351,2005,01,07,0.0,,Y
IDCJAC0009,86351,2005,01,08,3.0,1,Y
IDCJAC0009,86351,2005,01,09,0.0,,Y
IDCJAC0009,86351,2005,01,10,0.0,,Y
IDCJAC0009,86351,2005,01,11,0.0,,Y
IDCJAC0009,86351,2005,01,12,0.0,,Y
IDCJAC0009,86351,2005,01,13,0.0,,Y
IDCJAC0009,86351,2005,01,14,0.0,,Y
IDCJAC0009,86351,2005,01,15,0.9,1,Y
IDCJAC0009,86351,2005,01,16,0.8,1,Y
IDCJAC0009,86351,2005,01,17,0.0,,Y
IDCJAC0009,86351,2005,01,18,0.0,,Y
IDCJAC0009,86351,2005,01,19,0.0,,Y
IDCJAC0009,86351,2005,01,20,0.0,,Y
IDCJAC0009,86351,2005,01,21,0.0,,Y
IDCJAC0009,86351,2005,01,22,0.0,,Y
IDCJAC0009,86351,2005,01,23,0.0,,Y
IDCJAC0009,86351,2005,01,24,0.0,,Y
IDCJAC0009,86351,2005,01,25,0.0,,Y
IDCJAC0009,86351,2005,01,26,0.0,,Y
IDCJAC0009,86351,2005,01,27,0.4,1,Y
IDCJAC0009,86351,2005,01,28,0.0,,Y
IDCJAC0009,86351,2005,01,29,10.2,1,Y
IDCJAC0009,86351,2005,01,30,5.8,1,Y
IDCJAC0009,86351,2005,01,31,0.0,,Y
IDCJAC0009,86351,2005,02,01,0.0,,Y
IDCJAC0009,86351,2005,02,02,19.0,1,Y
IDCJAC0009,86351,2005,02,03,104.8,1,Y
IDCJAC0009,86351,2005,02,04,1.4,1,Y
IDCJAC0009,86351,2005,02,05,1.2,1,Y
IDCJAC0009,86351,2005,02,06,0.2,1,Y
IDCJAC0009,86351,2005,02,07,0.0,,Y
IDCJAC0009,86351,2005,02,08,5.4,1,Y
IDCJAC0009,86351,2005,02,09,16.4,1,Y
IDCJAC0009,86351,2005,02,10,0.0,,Y
IDCJAC0009,86351,2005,02,11,0.0,,Y
IDCJAC0009,86351,2005,02,12,2.4,1,Y
IDCJAC0009,86351,2005,02,13,0.0,,Y
IDCJAC0009,86351,2005,02,14,0.0,,Y
IDCJAC0009,86351,2005,02,15,2.0,1,Y
IDCJAC0009,86351,2005,02,16,0.8,1,Y
IDCJAC0009,86351,2005,02,17,0.0,,Y
IDCJAC0009,86351,2005,02,18,0.0,,Y
IDCJAC0009,86351,2005,02,19,0.0,,Y
IDCJAC0009,86351,2005,02,20,0.0,,Y
IDCJAC0009,86351,2005,02,21,0.0,,Y
IDCJAC0009,86351,2005,02,22,0.0,,Y
IDCJAC0009,86351,2005,02,23,0.0,,Y
IDCJAC0009,86351,2005,02,24,0.0,,Y
IDCJAC0009,86351,2005,02,25,0.0,,Y
IDCJAC0009,86351,2005,02,26,0.0,,Y
IDCJAC0009,86351,2005,02,27,0.0,,Y
IDCJAC0009,86351,2005,02,28,0.0,,Y
IDCJAC0009,86351,2005,03,01,0.0,,Y
IDCJAC0009,86351,2005,03,02,0.2,1,Y
IDCJAC0009,86351,2005,03,03,0.0,,Y
IDCJAC0009,86351,2005,03,04,0.0,,Y
IDCJAC0009,86351,2005,03,05,3.6,1,Y
IDCJAC0009,86351,2005,03,06,3.6,1,Y
IDCJAC0009,86351,2005,03,07,0.0,,Y
IDCJAC0009,86351,2005,03,08,0.2,1,Y
IDCJAC0009,86351,2005,03,09,0.0,,Y
IDCJAC0009,86351,2005,03,10,0.1,1,Y
IDCJAC0009,86351,2005,03,11,0.0,,Y
IDCJAC0009,86351,2005,03,12,0.0,,Y
IDCJAC0009,86351,2005,03,13,0.0,,Y
IDCJAC0009,86351,2005,03,14,0.0,,Y
IDCJAC0009,86351,2005,03,15,0.0,,Y
IDCJAC0009,86351,2005,03,16,0.4,1,Y
IDCJAC0009,86351,2005,03,17,0.0,,Y
IDCJAC0009,86351,2005,03,18,0.0,,Y
IDCJAC0009,86351,2005,03,19,0.0,,Y
IDCJAC0009,86351,2005,03,20,0.0,,Y
IDCJAC0009,86351,2005,03,21,0.0,,Y
IDCJAC0009,86351,2005,03,22,0.0,,Y
IDCJAC0009,86351,2005,03,23,0.8,1,Y
IDCJAC0009,86351,2005,03,24,0.0,,Y
IDCJAC0009,86351,2005,03,25,0.7,1,Y
IDCJAC0009,86351,2005,03,26,0.5,1,Y
IDCJAC0009,86351,2005,03,27,0.0,,Y
IDCJAC0009,86351,2005,03,28,0.6,1,Y
IDCJAC0009,86351,2005,03,29,0.2,1,Y
IDCJAC0009,86351,2005,03,30,0.0,,Y
IDCJAC0009,86351,2005,03,31,0.0,,Y
IDCJAC0009,86351,2005,04,01,0.0,,Y
IDCJAC0009,86351,2005,04,02,0.0,,Y
IDCJAC0009,86351,2005,04,03,3.4,1,Y
IDCJAC0009,86351,2005,04,04,0.6,1,Y
IDCJAC0009,86351,2005,04,05,0.0,,Y
IDCJAC0009,86351,2005,04,06,0.0,,Y
IDCJAC0009,86351,2005,04,07,0.0,,Y
IDCJAC0009,86351,2005,04,08,0.2,1,Y
IDCJAC0009,86351,2005,04,09,0.0,,Y
IDCJAC0009,86351,2005,04,10,0.0,,Y
IDCJAC0009,86351,2005,04,11,2.2,1,Y
IDCJAC0009,86351,2005,04,12,0.0,,Y
IDCJAC0009,86351,2005,04,13,0.0,,Y
IDCJAC0009,86351,2005,04,14,4.8,1,Y
IDCJAC0009,86351,2005,04,15,9.8,1,Y
IDCJAC0009,86351,2005,04,16,0.0,,Y
IDCJAC0009,86351,2005,04,17,0.1,1,Y
IDCJAC0009,86351,2005,04,18,3.8,1,Y
IDCJAC0009,86351,2005,04,19,0.0,,Y
IDCJAC0009,86351,2005,04,20,0.0,,Y
IDCJAC0009,86351,2005,04,21,0.0,,Y
IDCJAC0009,86351,2005,04,22,0.0,,Y
IDCJAC0009,86351,2005,04,23,0.0,,Y
IDCJAC0009,86351,2005,04,24,0.0,,Y
IDCJAC0009,86351,2005,04,25,0.0,,Y
IDCJAC0009,86351,2005,04,26,0.0,,Y
IDCJAC0009,86351,2005,04,27,0.0,,Y
IDCJAC0009,86351,2005,04,28,0.0,,Y
IDCJAC0009,86351,2005,04,29,1.8,1,Y
IDCJAC0009,86351,2005,04,30,0.0,,Y
IDCJAC0009,86351,2005,05,01,3.0,1,Y
IDCJAC0009,86351,2005,05,02,0.0,,Y
IDCJAC0009,86351,2005,05,03,0.0,,Y
IDCJAC0009,86351,2005,05,04,0.0,,Y
IDCJAC0009,86351,2005,05,05,0.0,,Y
IDCJAC0009,86351,2005,05,06,0.0,,Y
IDCJAC0009,86351,2005,05,07,0.0,,Y
IDCJAC0009,86351,2005,05,08,0.0,,Y
IDCJAC0009,86351,2005,05,09,0.0,,Y
IDCJAC0009,86351,2005,05,10,0.0,,Y
IDCJAC0009,86351,2005,05,11,0.0,,Y
IDCJAC0009,86351,2005,05,12,1.0,1,Y
IDCJAC0009,86351,2005,05,13,0.4,1,Y
IDCJAC0009,86351,2005,05,14,0.4,1,Y
IDCJAC0009,86351,2005,05,15,0.0,,Y
IDCJAC0009,86351,2005,05,16,0.0,,Y
IDCJAC0009,86351,2005,05,17,0.0,,Y
IDCJAC0009,86351,2005,05,18,0.0,,Y
IDCJAC0009,86351,2005,05,19,0.0,,Y
IDCJAC0009,86351,2005,05,20,0.0,,Y
IDCJAC0009,86351,2005,05,21,0.0,,Y
IDCJAC0009,86351,2005,05,22,0.0,,Y
IDCJAC0009,86351,2005,05,23,0.0,,Y
IDCJAC0009,86351,2005,05,24,4.4,1,Y
IDCJAC0009,86351,2005,05,25,0.0,1,Y
IDCJAC0009,86351,2005,05,26,2.0,1,Y
IDCJAC0009,86351,2005,05,27,0.8,1,Y
IDCJAC0009,86351,2005,05,28,0.0,,Y
IDCJAC0009,86351,2005,05,29,0.8,1,Y
IDCJAC0009,86351,2005,05,30,0.0,,Y
IDCJAC0009,86351,2005,05,31,0.2,1,Y
IDCJAC0009,86351,2005,06,01,0.4,1,Y
IDCJAC0009,86351,2005,06,02,0.0,,Y
IDCJAC0009,86351,2005,06,03,0.0,,Y
IDCJAC0009,86351,2005,06,04,0.0,,Y
IDCJAC0009,86351,2005,06,05,0.0,,Y
IDCJAC0009,86351,2005,06,06,0.0,,Y
IDCJAC0009,86351,2005,06,07,0.0,,Y
IDCJAC0009,86351,2005,06,08,0.0,,Y
IDCJAC0009,86351,2005,06,09,8.6,1,Y
IDCJAC0009,86351,2005,06,10,1.2,1,Y
IDCJAC0009,86351,2005,06,11,13.6,1,Y
IDCJAC0009,86351,2005,06,12,0.3,1,Y
IDCJAC0009,86351,2005,06,13,0.0,,Y
IDCJAC0009,86351,2005,06,14,10.4,1,Y
IDCJAC0009,86351,2005,06,15,0.0,,Y
IDCJAC0009,86351,2005,06,16,1.0,1,Y
IDCJAC0009,86351,2005,06,17,1.4,1,Y
IDCJAC0009,86351,2005,06,18,0.0,,Y
IDCJAC0009,86351,2005,06,19,0.2,1,Y
IDCJAC0009,86351,2005,06,20,0.0,,Y
IDCJAC0009,86351,2005,06,21,2.2,1,Y
IDCJAC0009,86351,2005,06,22,4.2,1,Y
IDCJAC0009,86351,2005,06,23,2.2,1,Y
IDCJAC0009,86351,2005,06,24,0.0,,Y
IDCJAC0009,86351,2005,06,25,0.2,1,Y
IDCJAC0009,86351,2005,06,26,0.0,,Y
IDCJAC0009,86351,2005,06,27,0.0,,Y
IDCJAC0009,86351,2005,06,28,0.0,,Y
IDCJAC0009,86351,2005,06,29,0.2,1,Y
IDCJAC0009,86351,2005,06,30,0.0,,Y
IDCJAC0009,86351,2005,07,01,3.4,1,Y
IDCJAC0009,86351,2005,07,02,1.4,1,Y
IDCJAC0009,86351,2005,07,03,0.4,1,Y
IDCJAC0009,86351,2005,07,04,0.0,,Y
IDCJAC0009,86351,2005,07,05,0.0,,Y
IDCJAC0009,86351,2005,07,06,0.0,,Y
IDCJAC0009,86351,2005,07,07,0.0,,Y
IDCJAC0009,86351,2005,07,08,0.0,,Y
IDCJAC0009,86351,2005,07,09,2.4,1,Y
IDCJAC0009,86351,2005,07,10,4.8,1,Y
IDCJAC0009,86351,2005,07,11,0.2,1,Y
IDCJAC0009,86351,2005,07,12,0.0,,Y
IDCJAC0009,86351,2005,07,13,1.0,1,Y
IDCJAC0009,86351,2005,07,14,2.2,1,Y
IDCJAC0009,86351,2005,07,15,0.2,1,Y
IDCJAC0009,86351,2005,07,16,0.2,1,Y
IDCJAC0009,86351,2005,07,17,4.0,1,Y
IDCJAC0009,86351,2005,07,18,0.0,,Y
IDCJAC0009,86351,2005,07,19,0.0,,Y
IDCJAC0009,86351,2005,07,20,0.0,,Y
IDCJAC0009,86351,2005,07,21,0.0,,Y
IDCJAC0009,86351,2005,07,22,0.0,,Y
IDCJAC0009,86351,2005,07,23,0.0,,Y
IDCJAC0009,86351,2005,07,24,0.0,,Y
IDCJAC0009,86351,2005,07,25,3.0,1,Y
IDCJAC0009,86351,2005,07,26,0.4,1,Y
IDCJAC0009,86351,2005,07,27,3.2,1,Y
IDCJAC0009,86351,2005,07,28,0.0,,Y
IDCJAC0009,86351,2005,07,29,0.0,,Y
IDCJAC0009,86351,2005,07,30,0.0,,Y
IDCJAC0009,86351,2005,07,31,0.0,,Y
IDCJAC0009,86351,2005,08,01,0.0,,Y
IDCJAC0009,86351,2005,08,02,0.0,,Y
IDCJAC0009,86351,2005,08,03,0.0,,Y
IDCJAC0009,86351,2005,08,04,13.0,1,Y
IDCJAC0009,86351,2005,08,05,5.8,1,Y
IDCJAC0009,86351,2005,08,06,0.0,,Y
IDCJAC0009,86351,2005,08,07,0.0,,Y
IDCJAC0009,86351,2005,08,08,2.6,1,Y
IDCJAC0009,86351,2005,08,09,0.0,,Y
IDCJAC0009,86351,2005,08,10,3.8,1,Y
IDCJAC0009,86351,2005,08,11,0.1,1,Y
IDCJAC0009,86351,2005,08,12,3.2,1,Y
IDCJAC0009,86351,2005,08,13,0.5,1,Y
IDCJAC0009,86351,2005,08,14,0.0,,Y
IDCJAC0009,86351,2005,08,15,1.8,1,Y
IDCJAC0009,86351,2005,08,16,1.6,1,Y
IDCJAC0009,86351,2005,08,17,0.0,,Y
IDCJAC0009,86351,2005,08,18,0.0,,Y
IDCJAC0009,86351,2005,08,19,0.0,,Y
IDCJAC0009,86351,2005,08,20,11.0,1,Y
IDCJAC0009,86351,2005,08,21,2.5,1,Y
IDCJAC0009,86351,2005,08,22,6.2,1,Y
IDCJAC0009,86351,2005,08,23,1.4,1,Y
IDCJAC0009,86351,2005,08,24,0.2,1,Y
IDCJAC0009,86351,2005,08,25,0.0,,Y
IDCJAC0009,86351,2005,08,26,0.0,,Y
IDCJAC0009,86351,2005,08,27,0.0,,Y
IDCJAC0009,86351,2005,08,28,0.0,,Y
IDCJAC0009,86351,2005,08,29,0.0,,Y
IDCJAC0009,86351,2005,08,30,0.8,1,Y
IDCJAC0009,86351,2005,08,31,18.2,1,Y
IDCJAC0009,86351,2005,09,01,0.6,1,Y
IDCJAC0009,86351,2005,09,02,0.0,,Y
IDCJAC0009,86351,2005,09,03,0.0,,Y
IDCJAC0009,86351,2005,09,04,0.4,1,Y
IDCJAC0009,86351,2005,09,05,0.0,,Y
IDCJAC0009,86351,2005,09,06,0.0,,Y
IDCJAC0009,86351,2005,09,07,1.0,1,Y
IDCJAC0009,86351,2005,09,08,0.0,,Y
IDCJAC0009,86351,2005,09,09,0.6,1,Y
IDCJAC0009,86351,2005,09,10,2.2,1,Y
IDCJAC0009,86351,2005,09,11,0.5,1,Y
IDCJAC0009,86351,2005,09,12,11.0,1,Y
IDCJAC0009,86351,2005,09,13,1.4,1,Y
IDCJAC0009,86351,2005,09,14,0.8,1,Y
IDCJAC0009,86351,2005,09,15,1.8,1,Y
IDCJAC0009,86351,2005,09,16,0.0,,Y
IDCJAC0009,86351,2005,09,17,0.4,1,Y
IDCJAC0009,86351,2005,09,18,8.8,1,Y
IDCJAC0009,86351,2005,09,19,1.6,1,Y
IDCJAC0009,86351,2005,09,20,2.6,1,Y
IDCJAC0009,86351,2005,09,21,0.0,,Y
IDCJAC0009,86351,2005,09,22,0.0,,Y
IDCJAC0009,86351,2005,09,23,0.6,1,Y
IDCJAC0009,86351,2005,09,24,0.4,1,Y
IDCJAC0009,86351,2005,09,25,0.0,,Y
IDCJAC0009,86351,2005,09,26,0.1,1,Y
IDCJAC0009,86351,2005,09,27,0.0,,Y
IDCJAC0009,86351,2005,09,28,0.0,,Y
IDCJAC0009,86351,2005,09,29,12.8,1,Y
IDCJAC0009,86351,2005,09,30,0.2,1,Y
IDCJAC0009,86351,2005,10,01,0.0,,Y
IDCJAC0009,86351,2005,10,02,0.0,,Y
IDCJAC0009,86351,2005,10,03,0.0,,Y
IDCJAC0009,86351,2005,10,04,0.0,,Y
IDCJAC0009,86351,2005,10,05,0.0,,Y
IDCJAC0009,86351,2005,10,06,0.6,1,Y
IDCJAC0009,86351,2005,10,07,0.0,,Y
IDCJAC0009,86351,2005,10,08,10.6,1,Y
IDCJAC0009,86351,2005,10,09,10.2,1,Y
IDCJAC0009,86351,2005,10,10,0.0,,Y
IDCJAC0009,86351,2005,10,11,3.4,1,Y
IDCJAC0009,86351,2005,10,12,0.0,,Y
IDCJAC0009,86351,2005,10,13,0.0,,Y
IDCJAC0009,86351,2005,10,14,0.0,,Y
IDCJAC0009,86351,2005,10,15,0.0,,Y
IDCJAC0009,86351,2005,10,16,0.0,,Y
IDCJAC0009,86351,2005,10,17,0.0,,Y
IDCJAC0009,86351,2005,10,18,0.0,,Y
IDCJAC0009,86351,2005,10,19,0.0,,Y
IDCJAC0009,86351,2005,10,20,3.4,1,Y
IDCJAC0009,86351,2005,10,21,8.0,1,Y
IDCJAC0009,86351,2005,10,22,0.0,,Y
IDCJAC0009,86351,2005,10,23,5.4,1,Y
IDCJAC0009,86351,2005,10,24,1.4,1,Y
IDCJAC0009,86351,2005,10,25,1.6,1,Y
IDCJAC0009,86351,2005,10,26,14.8,1,Y
IDCJAC0009,86351,2005,10,27,0.2,1,Y
IDCJAC0009,86351,2005,10,28,0.6,1,Y
IDCJAC0009,86351,2005,10,29,0.0,,Y
IDCJAC0009,86351,2005,10,30,1.8,1,Y
IDCJAC0009,86351,2005,10,31,0.0,,Y
IDCJAC0009,86351,2005,11,01,0.0,,Y
IDCJAC0009,86351,2005,11,02,0.0,,Y
IDCJAC0009,86351,2005,11,03,5.0,1,Y
IDCJAC0009,86351,2005,11,04,0.0,,Y
IDCJAC0009,86351,2005,11,05,0.0,,Y
IDCJAC0009,86351,2005,11,06,0.0,,Y
IDCJAC0009,86351,2005,11,07,0.0,,Y
IDCJAC0009,86351,2005,11,08,12.6,1,Y
IDCJAC0009,86351,2005,11,09,1.2,1,Y
IDCJAC0009,86351,2005,11,10,0.6,1,Y
IDCJAC0009,86351,2005,11,11,8.8,1,Y
IDCJAC0009,86351,2005,11,12,1.0,1,Y
IDCJAC0009,86351,2005,11,13,0.2,1,Y
IDCJAC0009,86351,2005,11,14,0.0,,Y
IDCJAC0009,86351,2005,11,15,24.6,1,Y
IDCJAC0009,86351,2005,11,16,0.0,,Y
IDCJAC0009,86351,2005,11,17,0.0,,Y
IDCJAC0009,86351,2005,11,18,0.0,,Y
IDCJAC0009,86351,2005,11,19,5.2,1,Y
IDCJAC0009,86351,2005,11,20,0.0,,Y
IDCJAC0009,86351,2005,11,21,0.0,,Y
IDCJAC0009,86351,2005,11,22,0.0,,Y
IDCJAC0009,86351,2005,11,23,0.0,,Y
IDCJAC0009,86351,2005,11,24,0.0,,Y
IDCJAC0009,86351,2005,11,25,3.8,1,Y
IDCJAC0009,86351,2005,11,26,1.4,1,Y
IDCJAC0009,86351,2005,11,27,0.0,,Y
IDCJAC0009,86351,2005,11,28,0.1,1,Y
IDCJAC0009,86351,2005,11,29,0.0,,Y
IDCJAC0009,86351,2005,11,30,0.0,,Y
IDCJAC0009,86351,2005,12,01,0.0,,Y
IDCJAC0009,86351,2005,12,02,0.0,,Y
IDCJAC0009,86351,2005,12,03,23.2,1,Y
IDCJAC0009,86351,2005,12,04,0.0,,Y
IDCJAC0009,86351,2005,12,05,0.0,,Y
IDCJAC0009,86351,2005,12,06,0.1,1,Y
IDCJAC0009,86351,2005,12,07,22.4,1,Y
IDCJAC0009,86351,2005,12,08,0.0,,Y
IDCJAC0009,86351,2005,12,09,0.0,,Y
IDCJAC0009,86351,2005,12,10,0.0,,Y
IDCJAC0009,86351,2005,12,11,0.0,,Y
IDCJAC0009,86351,2005,12,12,0.0,,Y
IDCJAC0009,86351,2005,12,13,8.0,1,Y
IDCJAC0009,86351,2005,12,14,0.0,,Y
IDCJAC0009,86351,2005,12,15,0.0,,Y
IDCJAC0009,86351,2005,12,16,2.0,1,Y
IDCJAC0009,86351,2005,12,17,0.0,,Y
IDCJAC0009,86351,2005,12,18,1.2,1,Y
IDCJAC0009,86351,2005,12,19,1.0,1,Y
IDCJAC0009,86351,2005,12,20,0.0,,Y
IDCJAC0009,86351,2005,12,21,0.0,,Y
IDCJAC0009,86351,2005,12,22,1.0,1,Y
IDCJAC0009,86351,2005,12,23,0.0,,Y
IDCJAC0009,86351,2005,12,24,1.0,1,Y
IDCJAC0009,86351,2005,12,25,0.0,,Y
IDCJAC0009,86351,2005,12,26,0.0,,Y
IDCJAC0009,86351,2005,12,27,0.0,,Y
IDCJAC0009,86351,2005,12,28,0.0,,Y
IDCJAC0009,86351,2005,12,29,0.0,,Y
IDCJAC0009,86351,2005,12,30,0.0,,Y
IDCJAC0009,86351,2005,12,31,0.0,,Y
IDCJAC0009,86351,2006,01,01,0.0,,Y
IDCJAC0009,86351,2006,01,02,13.9,1,Y
IDCJAC0009,86351,2006,01,03,0.0,,Y
IDCJAC0009,86351,2006,01,04,0.0,,Y
IDCJAC0009,86351,2006,01,05,0.0,,Y
IDCJAC0009,86351,2006,01,06,0.0,,Y
IDCJAC0009,86351,2006,01,07,0.0,,Y
IDCJAC0009,86351,2006,01,08,0.0,,Y
IDCJAC0009,86351,2006,01,09,0.0,,Y
IDCJAC0009,86351,2006,01,10,0.0,,Y
IDCJAC0009,86351,2006,01,11,12.4,1,Y
IDCJAC0009,86351,2006,01,12,3.0,1,Y
IDCJAC0009,86351,2006,01,13,0.9,2,Y
IDCJAC0009,86351,2006,01,14,0.0,,Y
IDCJAC0009,86351,2006,01,15,0.0,,Y
IDCJAC0009,86351,2006,01,16,0.0,,Y
IDCJAC0009,86351,2006,01,17,0.0,,Y
IDCJAC0009,86351,2006,01,18,0.0,,Y
IDCJAC0009,86351,2006,01,19,0.0,,Y
IDCJAC0009,86351,2006,01,20,1.2,1,Y
IDCJAC0009,86351,2006,01,21,1.8,1,Y
IDCJAC0009,86351,2006,01,22,0.0,,Y
IDCJAC0009,86351,2006,01,23,0.0,,Y
IDCJAC0009,86351,2006,01,24,0.2,1,Y
IDCJAC0009,86351,2006,01,25,0.0,,Y
IDCJAC0009,86351,2006,01,26,0.0,,Y
IDCJAC0009,86351,2006,01,27,14.0,1,Y
IDCJAC0009,86351,2006,01,28,3.0,1,Y
IDCJAC0009,86351,2006,01,29,6.6,1,Y
IDCJAC0009,86351,2006,01,30,1.0,1,Y
IDCJAC0009,86351,2006,01,31,1.4,1,Y
IDCJAC0009,86351,2006,02,01,0.0,,Y
IDCJAC0009,86351,2006,02,02,3.8,1,Y
IDCJAC0009,86351,2006,02,03,0.0,,Y
IDCJAC0009,86351,2006,02,04,0.0,,Y
IDCJAC0009,86351,2006,02,05,0.0,,Y
IDCJAC0009,86351,2006,02,06,0.0,,Y
IDCJAC0009,86351,2006,02,07,0.0,,Y
IDCJAC0009,86351,2006,02,08,0.0,,Y
IDCJAC0009,86351,2006,02,09,0.8,1,Y
IDCJAC0009,86351,2006,02,10,14.6,1,Y
IDCJAC0009,86351,2006,02,11,0.0,,Y
IDCJAC0009,86351,2006,02,12,0.0,,Y
IDCJAC0009,86351,2006,02,13,0.8,1,Y
IDCJAC0009,86351,2006,02,14,0.0,,Y
IDCJAC0009,86351,2006,02,15,0.0,,Y
IDCJAC0009,86351,2006,02,16,0.0,,Y
IDCJAC0009,86351,2006,02,17,0.0,,Y
IDCJAC0009,86351,2006,02,18,0.0,,Y
IDCJAC0009,86351,2006,02,19,0.4,1,Y
IDCJAC0009,86351,2006,02,20,0.4,1,Y
IDCJAC0009,86351,2006,02,21,0.0,,Y
IDCJAC0009,86351,2006,02,22,0.0,,Y
IDCJAC0009,86351,2006,02,23,0.0,,Y
IDCJAC0009,86351,2006,02,24,0.0,,Y
IDCJAC0009,86351,2006,02,25,1.0,1,Y
IDCJAC0009,86351,2006,02,26,28.2,1,Y
IDCJAC0009,86351,2006,02,27,0.0,,Y
IDCJAC0009,86351,2006,02,28,0.0,,Y
IDCJAC0009,86351,2006,03,01,0.0,1,Y
IDCJAC0009,86351,2006,03,02,0.0,,Y
IDCJAC0009,86351,2006,03,03,0.0,,Y
IDCJAC0009,86351,2006,03,04,0.0,,Y
IDCJAC0009,86351,2006,03,05,0.0,,Y
IDCJAC0009,86351,2006,03,06,0.0,,Y
IDCJAC0009,86351,2006,03,07,0.0,,Y
IDCJAC0009,86351,2006,03,08,0.0,,Y
IDCJAC0009,86351,2006,03,09,0.0,,Y
IDCJAC0009,86351,2006,03,10,0.0,,Y
IDCJAC0009,86351,2006,03,11,0.0,,Y
IDCJAC0009,86351,2006,03,12,0.0,,Y
IDCJAC0009,86351,2006,03,13,10.4,1,Y
IDCJAC0009,86351,2006,03,14,0.0,,Y
IDCJAC0009,86351,2006,03,15,0.0,,Y
IDCJAC0009,86351,2006,03,16,2.6,1,Y
IDCJAC0009,86351,2006,03,17,0.8,1,Y
IDCJAC0009,86351,2006,03,18,0.0,,Y
IDCJAC0009,86351,2006,03,19,0.0,,Y
IDCJAC0009,86351,2006,03,20,0.0,,Y
IDCJAC0009,86351,2006,03,21,0.0,,Y
IDCJAC0009,86351,2006,03,22,0.0,,Y
IDCJAC0009,86351,2006,03,23,0.0,,Y
IDCJAC0009,86351,2006,03,24,0.0,,Y
IDCJAC0009,86351,2006,03,25,0.0,,Y
IDCJAC0009,86351,2006,03,26,0.0,,Y
IDCJAC0009,86351,2006,03,27,0.0,,Y
IDCJAC0009,86351,2006,03,28,0.0,,Y
IDCJAC0009,86351,2006,03,29,0.0,,Y
IDCJAC0009,86351,2006,03,30,0.0,,Y
IDCJAC0009,86351,2006,03,31,0.0,,Y
IDCJAC0009,86351,2006,04,01,12.8,1,Y
IDCJAC0009,86351,2006,04,02,0.6,1,Y
