Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,86351,2012,09,27,0.0,,Y
IDCJAC0009,86351,2012,09,28,1.0,1,Y
IDCJAC0009,86351,2012,09,29,10.2,1,Y
IDCJAC0009,86351,2012,09,30,2.8,1,Y
IDCJAC0009,86351,2012,10,01,0.4,1,Y
IDCJAC0009,86351,2012,10,02,0.0,,Y
IDCJAC0009,86351,2012,10,03,0.0,,Y
IDCJAC0009,86351,2012,10,04,0.0,,Y
IDCJAC0009,86351,2012,10,05,0.0,,Y
IDCJAC0009,86351,2012,10,06,0.0,,Y
IDCJAC0009,86351,2012,10,07,4.6,1,Y
IDCJAC0009,86351,2012,10,08,0.8,1,Y
IDCJAC0009,86351,2012,10,09,0.2,1,Y
IDCJAC0009,86351,2012,10,10,6.0,1,Y
IDCJAC0009,86351,2012,10,11,2.0,1,Y
IDCJAC0009,86351,2012,10,12,1.4,1,Y
IDCJAC0009,86351,2012,10,13,3.2,1,Y
IDCJAC0009,86351,2012,10,14,2.2,1,Y
IDCJAC0009,86351,2012,10,15,0.0,,Y
IDCJAC0009,86351,2012,10,16,0.0,,Y
IDCJAC0009,86351,2012,10,17,1.0,1,Y
IDCJAC0009,86351,2012,10,18,0.0,,Y
IDCJAC0009,86351,2012,10,19,0.8,1,Y
IDCJAC0009,86351,2012,10,20,0.0,,Y
IDCJAC0009,86351,2012,10,21,0.4,1,Y
IDCJAC0009,86351,2012,10,22,2.6,1,Y
IDCJAC0009,86351,2012,10,23,0.0,1,Y
IDCJAC0009,86351,2012,10,24,0.0,,Y
IDCJAC0009,86351,2012,10,25,0.0,,Y
IDCJAC0009,86351,2012,10,26,1.8,1,Y
IDCJAC0009,86351,2012,10,27,5.6,1,Y
IDCJAC0009,86351,2012,10,28,0.1,1,Y
IDCJAC0009,86351,2012,10,29,0.0,,Y
IDCJAC0009,86351,2012,10,30,0.0,,Y
IDCJAC0009,86351,2012,10,31,0.0,,Y
IDCJAC0009,86351,2012,11,01,5.2,1,Y
IDCJAC0009,86351,2012,11,02,1.4,1,Y
IDCJAC0009,86351,2012,11,03,0.0,,Y
IDCJAC0009,86351,2012,11,04,0.0,,Y
IDCJAC0009,86351,2012,11,05,0.0,,Y
IDCJAC0009,86351,2012,11,06,0.1,1,Y
IDCJAC0009,86351,2012,11,07,2.0,1,Y
IDCJAC0009,86351,2012,11,08,0.2,1,Y
IDCJAC0009,86351,2012,11,09,0.0,,Y
IDCJAC0009,86351,2012,11,10,12.2,1,Y
IDCJAC0009,86351,2012,11,11,0.0,,Y
IDCJAC0009,86351,2012,11,12,0.0,,Y
IDCJAC0009,86351,2012,11,13,0.0,,Y
IDCJAC0009,86351,2012,11,14,0.0,,Y
IDCJAC0009,86351,2012,11,15,0.0,,Y
IDCJAC0009,86351,2012,11,16,0.1,1,Y
IDCJAC0009,86351,2012,11,17,1.2,1,Y
IDCJAC0009,86351,2012,11,18,3.2,1,Y
IDCJAC0009,86351,2012,11,19,0.0,,Y
IDCJAC0009,86351,2012,11,20,0.0,,Y
IDCJAC0009,86351,2012,11,21,0.0,,Y
IDCJAC0009,86351,2012,11,22,0.0,,Y
IDCJAC0009,86351,2012,11,23,0.0,,Y
IDCJAC0009,86351,2012,11,24,0.0,,Y
IDCJAC0009,86351,2012,11,25,0.0,,Y
IDCJAC0009,86351,2012,11,26,0.0,,Y
IDCJAC0009,86351,2012,11,27,9.0,1,Y
IDCJAC0009,86351,2012,11,28,9.8,1,Y
IDCJAC0009,86351,2012,11,29,0.0,,Y
IDCJAC0009,86351,2012,11,30,0.0,,Y
IDCJAC0009,86351,2012,12,01,5.4,1,Y
IDCJAC0009,86351,2012,12,02,1.4,1,Y
IDCJAC0009,86351,2012,12,03,0.0,,Y
IDCJAC0009,86351,2012,12,04,1.6,1,Y
IDCJAC0009,86351,2012,12,05,1.6,1,Y
IDCJAC0009,86351,2012,12,06,0.3,1,Y
IDCJAC0009,86351,2012,12,07,0.0,,Y
IDCJAC0009,86351,2012,12,08,0.0,,Y
IDCJAC0009,86351,2012,12,09,0.0,,Y
IDCJAC0009,86351,2012,12,10,0.0,,Y
IDCJAC0009,86351,2012,12,11,0.0,,Y
IDCJAC0009,86351,2012,12,12,0.0,,Y
IDCJAC0009,86351,2012,12,13,0.0,,Y
IDCJAC0009,86351,2012,12,14,3.6,1,Y
IDCJAC0009,86351,2012,12,15,4.4,1,Y
IDCJAC0009,86351,2012,12,16,1.2,1,Y
IDCJAC0009,86351,2012,12,17,0.6,1,Y
IDCJAC0009,86351,2012,12,18,0.0,,Y
IDCJAC0009,86351,2012,12,19,0.0,,Y
IDCJAC0009,86351,2012,12,20,5.6,1,Y
IDCJAC0009,86351,2012,12,21,0.0,,Y
IDCJAC0009,86351,2012,12,22,0.0,,Y
IDCJAC0009,86351,2012,12,23,0.0,,Y
IDCJAC0009,86351,2012,12,24,0.0,,Y
IDCJAC0009,86351,2012,12,25,0.0,,Y
IDCJAC0009,86351,2012,12,26,0.0,,Y
IDCJAC0009,86351,2012,12,27,0.0,,Y
IDCJAC0009,86351,2012,12,28,0.0,,Y
IDCJAC0009,86351,2012,12,29,0.0,,Y
IDCJAC0009,86351,2012,12,30,0.0,,Y
IDCJAC0009,86351,2012,12,31,0.0,,Y
IDCJAC0009,86351,2013,01,01,0.0,,Y
IDCJAC0009,86351,2013,01,02,0.4,1,Y
IDCJAC0009,86351,2013,01,03,0.0,,Y
IDCJAC0009,86351,2013,01,04,0.0,,Y
IDCJAC0009,86351,2013,01,05,0.0,,Y
IDCJAC0009,86351,2013,01,06,0.0,,Y
IDCJAC0009,86351,2013,01,07,0.0,,Y
IDCJAC0009,86351,2013,01,08,0.0,,Y
IDCJAC0009,86351,2013,01,09,0.2,1,Y
IDCJAC0009,86351,2013,01,10,0.0,,Y
IDCJAC0009,86351,2013,01,11,0.0,,Y
IDCJAC0009,86351,2013,01,12,0.0,,Y
IDCJAC0009,86351,2013,01,13,0.0,,Y
IDCJAC0009,86351,2013,01,14,0.0,,Y
IDCJAC0009,86351,2013,01,15,0.0,,Y
IDCJAC0009,86351,2013,01,16,0.0,,Y
IDCJAC0009,86351,2013,01,17,0.0,,Y
IDCJAC0009,86351,2013,01,18,0.0,,Y
IDCJAC0009,86351,2013,01,19,0.0,,Y
IDCJAC0009,86351,2013,01,20,0.0,,Y
IDCJAC0009,86351,2013,01,21,0.0,,Y
IDCJAC0009,86351,2013,01,22,0.0,,Y
IDCJAC0009,86351,2013,01,23,0.0,,Y
IDCJAC0009,86351,2013,01,24,0.0,,Y
IDCJAC0009,86351,2013,01,25,0.0,,Y
IDCJAC0009,86351,2013,01,26,0.0,,Y
IDCJAC0009,86351,2013,01,27,0.1,1,Y
IDCJAC0009,86351,2013,01,28,0.0,,Y
IDCJAC0009,86351,2013,01,29,3.0,1,Y
IDCJAC0009,86351,2013,01,30,0.0,,Y
IDCJAC0009,86351,2013,01,31,0.0,,Y
IDCJAC0009,86351,2013,02,01,16.8,1,Y
IDCJAC0009,86351,2013,02,02,0.0,,Y
IDCJAC0009,86351,2013,02,03,0.2,1,Y
IDCJAC0009,86351,2013,02,04,0.0,,Y
IDCJAC0009,86351,2013,02,05,0.0,,Y
IDCJAC0009,86351,2013,02,06,0.0,,Y
IDCJAC0009,86351,2013,02,07,0.0,,Y
IDCJAC0009,86351,2013,02,08,0.0,,Y
IDCJAC0009,86351,2013,02,09,0.0,,Y
IDCJAC0009,86351,2013,02,10,4.4,1,Y
IDCJAC0009,86351,2013,02,11,0.0,,Y
IDCJAC0009,86351,2013,02,12,0.0,,Y
IDCJAC0009,86351,2013,02,13,0.0,,Y
IDCJAC0009,86351,2013,02,14,0.0,,Y
IDCJAC0009,86351,2013,02,15,0.0,,Y
IDCJAC0009,86351,2013,02,16,0.0,,Y
IDCJAC0009,86351,2013,02,17,0.0,,Y
IDCJAC0009,86351,2013,02,18,0.0,,Y
IDCJAC0009,86351,2013,02,19,0.0,,Y
IDCJAC0009,86351,2013,02,20,0.0,,Y
IDCJAC0009,86351,2013,02,21,0.0,,Y
IDCJAC0009,86351,2013,02,22,8.4,1,Y
IDCJAC0009,86351,2013,02,23,0.0,,Y
IDCJAC0009,86351,2013,02,24,0.0,,Y
IDCJAC0009,86351,2013,02,25,0.0,,Y
IDCJAC0009,86351,2013,02,26,27.5,1,Y
IDCJAC0009,86351,2013,02,27,5.4,1,Y
IDCJAC0009,86351,2013,02,28,18.6,1,Y
IDCJAC0009,86351,2013,03,01,0.0,1,Y
IDCJAC0009,86351,2013,03,02,0.0,,Y
IDCJAC0009,86351,2013,03,03,0.0,,Y
IDCJAC0009,86351,2013,03,04,0.0,,Y
IDCJAC0009,86351,2013,03,05,0.0,,Y
IDCJAC0009,86351,2013,03,06,0.0,,Y
IDCJAC0009,86351,2013,03,07,0.0,,Y
IDCJAC0009,86351,2013,03,08,0.0,,Y
IDCJAC0009,86351,2013,03,09,0.0,,Y
IDCJAC0009,86351,2013,03,10,0.0,,Y
IDCJAC0009,86351,2013,03,11,0.0,,Y
IDCJAC0009,86351,2013,03,12,0.0,,Y
IDCJAC0009,86351,2013,03,13,0.0,,Y
IDCJAC0009,86351,2013,03,14,0.4,1,Y
IDCJAC0009,86351,2013,03,15,0.0,,Y
IDCJAC0009,86351,2013,03,16,0.1,1,Y
IDCJAC0009,86351,2013,03,17,20.0,1,Y
IDCJAC0009,86351,2013,03,18,0.4,1,Y
IDCJAC0009,86351,2013,03,19,0.0,1,Y
IDCJAC0009,86351,2013,03,20,0.0,1,Y
IDCJAC0009,86351,2013,03,21,0.4,1,Y
IDCJAC0009,86351,2013,03,22,3.0,1,Y
IDCJAC0009,86351,2013,03,23,0.6,1,Y
IDCJAC0009,86351,2013,03,24,0.0,,Y
IDCJAC0009,86351,2013,03,25,0.0,,Y
IDCJAC0009,86351,2013,03,26,0.0,,Y
IDCJAC0009,86351,2013,03,27,0.0,,Y
IDCJAC0009,86351,2013,03,28,21.2,1,Y
IDCJAC0009,86351,2013,03,29,0.2,1,Y
IDCJAC0009,86351,2013,03,30,0.0,,Y
IDCJAC0009,86351,2013,03,31,2.4,1,Y
IDCJAC0009,86351,2013,04,01,0.8,1,Y
IDCJAC0009,86351,2013,04,02,0.4,1,Y
IDCJAC0009,86351,2013,04,03,8.8,1,Y
IDCJAC0009,86351,2013,04,04,0.0,1,Y
IDCJAC0009,86351,2013,04,05,0.0,1,Y
IDCJAC0009,86351,2013,04,06,0.0,,Y
IDCJAC0009,86351,2013,04,07,0.0,,Y
IDCJAC0009,86351,2013,04,08,5.2,1,Y
IDCJAC0009,86351,2013,04,09,0.0,1,Y
IDCJAC0009,86351,2013,04,10,0.0,1,Y
IDCJAC0009,86351,2013,04,11,0.6,1,Y
IDCJAC0009,86351,2013,04,12,0.6,1,Y
IDCJAC0009,86351,2013,04,13,0.0,,Y
IDCJAC0009,86351,2013,04,14,0.0,,Y
IDCJAC0009,86351,2013,04,15,6.0,1,Y
IDCJAC0009,86351,2013,04,16,0.2,1,Y
IDCJAC0009,86351,2013,04,17,0.0,,Y
IDCJAC0009,86351,2013,04,18,0.0,1,Y
IDCJAC0009,86351,2013,04,19,4.8,1,Y
IDCJAC0009,86351,2013,04,20,0.0,,Y
IDCJAC0009,86351,2013,04,21,0.0,,Y
IDCJAC0009,86351,2013,04,22,1.2,1,Y
IDCJAC0009,86351,2013,04,23,2.4,1,Y
IDCJAC0009,86351,2013,04,24,0.0,1,Y
IDCJAC0009,86351,2013,04,25,2.4,1,Y
IDCJAC0009,86351,2013,04,26,0.0,,Y
IDCJAC0009,86351,2013,04,27,0.0,,Y
IDCJAC0009,86351,2013,04,28,0.0,,Y
IDCJAC0009,86351,2013,04,29,0.0,,Y
IDCJAC0009,86351,2013,04,30,0.0,,Y
IDCJAC0009,86351,2013,05,01,0.0,,Y
IDCJAC0009,86351,2013,05,02,1.6,1,Y
IDCJAC0009,86351,2013,05,03,0.0,,Y
IDCJAC0009,86351,2013,05,04,2.2,1,Y
IDCJAC0009,86351,2013,05,05,0.0,,Y
IDCJAC0009,86351,2013,05,06,0.0,1,Y
IDCJAC0009,86351,2013,05,07,0.2,1,Y
IDCJAC0009,86351,2013,05,08,0.0,,Y
IDCJAC0009,86351,2013,05,09,0.0,,Y
IDCJAC0009,86351,2013,05,10,0.0,,Y
IDCJAC0009,86351,2013,05,11,0.0,,Y
IDCJAC0009,86351,2013,05,12,0.0,,Y
IDCJAC0009,86351,2013,05,13,1.6,1,Y
IDCJAC0009,86351,2013,05,14,1.2,1,Y
IDCJAC0009,86351,2013,05,15,1.2,1,Y
IDCJAC0009,86351,2013,05,16,6.6,1,Y
IDCJAC0009,86351,2013,05,17,6.0,1,Y
IDCJAC0009,86351,2013,05,18,0.6,1,Y
IDCJAC0009,86351,2013,05,19,0.2,1,Y
IDCJAC0009,86351,2013,05,20,0.6,1,Y
IDCJAC0009,86351,2013,05,21,3.0,1,Y
IDCJAC0009,86351,2013,05,22,0.0,1,Y
IDCJAC0009,86351,2013,05,23,0.0,,Y
IDCJAC0009,86351,2013,05,24,0.0,1,Y
IDCJAC0009,86351,2013,05,25,0.0,,Y
IDCJAC0009,86351,2013,05,26,0.0,,Y
IDCJAC0009,86351,2013,05,27,0.0,1,Y
IDCJAC0009,86351,2013,05,28,0.0,1,Y
IDCJAC0009,86351,2013,05,29,0.0,1,Y
IDCJAC0009,86351,2013,05,30,0.2,1,Y
IDCJAC0009,86351,2013,05,31,12.2,1,Y
IDCJAC0009,86351,2013,06,01,98.0,1,Y
IDCJAC0009,86351,2013,06,02,6.2,1,Y
IDCJAC0009,86351,2013,06,03,0.0,1,Y
IDCJAC0009,86351,2013,06,04,0.6,1,Y
IDCJAC0009,86351,2013,06,05,0.0,1,Y
IDCJAC0009,86351,2013,06,06,0.0,,Y
IDCJAC0009,86351,2013,06,07,13.4,1,Y
IDCJAC0009,86351,2013,06,08,1.6,1,Y
IDCJAC0009,86351,2013,06,09,0.2,1,Y
IDCJAC0009,86351,2013,06,10,0.0,,Y
IDCJAC0009,86351,2013,06,11,0.0,1,Y
IDCJAC0009,86351,2013,06,12,0.6,1,Y
IDCJAC0009,86351,2013,06,13,8.0,1,Y
IDCJAC0009,86351,2013,06,14,8.4,1,Y
IDCJAC0009,86351,2013,06,15,0.0,,Y
IDCJAC0009,86351,2013,06,16,0.6,1,Y
IDCJAC0009,86351,2013,06,17,0.2,1,Y
IDCJAC0009,86351,2013,06,18,1.6,1,Y
IDCJAC0009,86351,2013,06,19,0.4,1,Y
IDCJAC0009,86351,2013,06,20,0.0,1,Y
IDCJAC0009,86351,2013,06,21,0.0,1,Y
IDCJAC0009,86351,2013,06,22,0.0,,Y
IDCJAC0009,86351,2013,06,23,0.2,1,Y
IDCJAC0009,86351,2013,06,24,0.0,,Y
IDCJAC0009,86351,2013,06,25,0.2,1,Y
IDCJAC0009,86351,2013,06,26,0.0,1,Y
IDCJAC0009,86351,2013,06,27,0.0,1,Y
IDCJAC0009,86351,2013,06,28,0.0,1,Y
IDCJAC0009,86351,2013,06,29,0.0,,Y
IDCJAC0009,86351,2013,06,30,0.2,1,Y
IDCJAC0009,86351,2013,07,01,0.0,1,Y
IDCJAC0009,86351,2013,07,02,1.2,1,Y
IDCJAC0009,86351,2013,07,03,0.0,,Y
IDCJAC0009,86351,2013,07,04,0.0,,Y
IDCJAC0009,86351,2013,07,05,0.4,1,Y
IDCJAC0009,86351,2013,07,06,0.0,,Y
IDCJAC0009,86351,2013,07,07,1.0,1,Y
IDCJAC0009,86351,2013,07,08,4.8,1,Y
IDCJAC0009,86351,2013,07,09,0.0,1,Y
IDCJAC0009,86351,2013,07,10,0.0,1,Y
IDCJAC0009,86351,2013,07,11,0.0,1,Y
IDCJAC0009,86351,2013,07,12,0.0,1,Y
IDCJAC0009,86351,2013,07,13,0.0,,Y
IDCJAC0009,86351,2013,07,14,11.6,1,Y
IDCJAC0009,86351,2013,07,15,0.8,1,Y
IDCJAC0009,86351,2013,07,16,0.0,1,Y
IDCJAC0009,86351,2013,07,17,0.0,1,Y
IDCJAC0009,86351,2013,07,18,0.3,1,Y
IDCJAC0009,86351,2013,07,19,9.7,1,Y
IDCJAC0009,86351,2013,07,20,7.8,1,Y
IDCJAC0009,86351,2013,07,21,6.8,1,Y
IDCJAC0009,86351,2013,07,22,0.2,1,Y
IDCJAC0009,86351,2013,07,23,3.9,1,Y
IDCJAC0009,86351,2013,07,24,0.5,1,Y
IDCJAC0009,86351,2013,07,25,0.0,1,Y
IDCJAC0009,86351,2013,07,26,1.5,1,Y
IDCJAC0009,86351,2013,07,27,1.8,1,Y
IDCJAC0009,86351,2013,07,28,0.0,,Y
IDCJAC0009,86351,2013,07,29,2.8,1,Y
IDCJAC0009,86351,2013,07,30,1.6,1,Y
IDCJAC0009,86351,2013,07,31,0.0,,Y
IDCJAC0009,86351,2013,08,01,0.0,,Y
IDCJAC0009,86351,2013,08,02,0.0,,Y
IDCJAC0009,86351,2013,08,03,2.2,1,Y
IDCJAC0009,86351,2013,08,04,4.4,1,Y
IDCJAC0009,86351,2013,08,05,0.4,1,Y
IDCJAC0009,86351,2013,08,06,5.8,1,Y
IDCJAC0009,86351,2013,08,07,0.0,1,Y
IDCJAC0009,86351,2013,08,08,15.2,1,Y
IDCJAC0009,86351,2013,08,09,5.6,1,Y
IDCJAC0009,86351,2013,08,10,0.0,,Y
IDCJAC0009,86351,2013,08,11,0.2,1,Y
IDCJAC0009,86351,2013,08,12,0.0,,Y
IDCJAC0009,86351,2013,08,13,0.8,1,Y
IDCJAC0009,86351,2013,08,14,0.0,,Y
IDCJAC0009,86351,2013,08,15,2.6,1,Y
IDCJAC0009,86351,2013,08,16,0.0,1,Y
IDCJAC0009,86351,2013,08,17,1.2,1,Y
IDCJAC0009,86351,2013,08,18,0.6,1,Y
IDCJAC0009,86351,2013,08,19,0.0,1,Y
IDCJAC0009,86351,2013,08,20,1.0,1,Y
IDCJAC0009,86351,2013,08,21,1.6,1,Y
IDCJAC0009,86351,2013,08,22,0.0,1,Y
IDCJAC0009,86351,2013,08,23,2.6,1,Y
IDCJAC0009,86351,2013,08,24,0.8,1,Y
IDCJAC0009,86351,2013,08,25,0.0,,Y
IDCJAC0009,86351,2013,08,26,0.0,,Y
IDCJAC0009,86351,2013,08,27,0.0,,Y
IDCJAC0009,86351,2013,08,28,0.0,,Y
IDCJAC0009,86351,2013,08,29,0.0,,Y
IDCJAC0009,86351,2013,08,30,2.0,1,Y
IDCJAC0009,86351,2013,08,31,3.4,1,Y
IDCJAC0009,86351,2013,09,01,0.2,1,Y
IDCJAC0009,86351,2013,09,02,0.0,,Y
IDCJAC0009,86351,2013,09,03,0.0,1,Y
IDCJAC0009,86351,2013,09,04,0.0,,Y
IDCJAC0009,86351,2013,09,05,0.0,,Y
IDCJAC0009,86351,2013,09,06,2.8,1,Y
IDCJAC0009,86351,2013,09,07,0.0,,Y
IDCJAC0009,86351,2013,09,08,0.0,1,Y
IDCJAC0009,86351,2013,09,09,0.0,,Y
IDCJAC0009,86351,2013,09,10,0.0,1,Y
IDCJAC0009,86351,2013,09,11,0.2,1,Y
IDCJAC0009,86351,2013,09,12,1.2,1,Y
IDCJAC0009,86351,2013,09,13,5.4,1,Y
IDCJAC0009,86351,2013,09,14,0.0,,Y
IDCJAC0009,86351,2013,09,15,0.2,1,Y
IDCJAC0009,86351,2013,09,16,2.0,1,Y
IDCJAC0009,86351,2013,09,17,24.8,1,Y
IDCJAC0009,86351,2013,09,18,0.0,1,Y
IDCJAC0009,86351,2013,09,19,9.2,1,Y
IDCJAC0009,86351,2013,09,20,1.4,1,Y
IDCJAC0009,86351,2013,09,21,4.6,1,Y
IDCJAC0009,86351,2013,09,22,1.4,1,Y
IDCJAC0009,86351,2013,09,23,0.0,1,Y
IDCJAC0009,86351,2013,09,24,0.0,,Y
IDCJAC0009,86351,2013,09,25,0.0,,Y
IDCJAC0009,86351,2013,09,26,19.2,1,Y
IDCJAC0009,86351,2013,09,27,1.8,1,Y
IDCJAC0009,86351,2013,09,28,3.2,1,Y
IDCJAC0009,86351,2013,09,29,0.2,1,Y
IDCJAC0009,86351,2013,09,30,0.0,,Y
IDCJAC0009,86351,2013,10,01,4.4,1,Y
IDCJAC0009,86351,2013,10,02,0.2,1,Y
IDCJAC0009,86351,2013,10,03,1.8,1,Y
IDCJAC0009,86351,2013,10,04,0.2,1,Y
IDCJAC0009,86351,2013,10,05,0.0,,Y
IDCJAC0009,86351,2013,10,06,0.0,,Y
IDCJAC0009,86351,2013,10,07,2.4,1,Y
IDCJAC0009,86351,2013,10,08,1.0,1,Y
IDCJAC0009,86351,2013,10,09,0.0,,Y
IDCJAC0009,86351,2013,10,10,0.0,,Y
IDCJAC0009,86351,2013,10,11,6.4,1,Y
IDCJAC0009,86351,2013,10,12,0.0,,Y
IDCJAC0009,86351,2013,10,13,0.0,,Y
IDCJAC0009,86351,2013,10,14,5.2,1,Y
IDCJAC0009,86351,2013,10,15,7.0,1,Y
IDCJAC0009,86351,2013,10,16,0.0,,Y
IDCJAC0009,86351,2013,10,17,1.6,1,Y
IDCJAC0009,86351,2013,10,18,0.6,1,Y
IDCJAC0009,86351,2013,10,19,0.0,,Y
IDCJAC0009,86351,2013,10,20,0.0,,Y
IDCJAC0009,86351,2013,10,21,0.0,,Y
IDCJAC0009,86351,2013,10,22,0.4,1,Y
IDCJAC0009,86351,2013,10,23,23.4,1,Y
IDCJAC0009,86351,2013,10,24,7.6,1,Y
IDCJAC0009,86351,2013,10,25,0.8,1,Y
IDCJAC0009,86351,2013,10,26,0.4,1,Y
IDCJAC0009,86351,2013,10,27,0.1,1,Y
IDCJAC0009,86351,2013,10,28,0.0,1,Y
IDCJAC0009,86351,2013,10,29,2.0,1,Y
IDCJAC0009,86351,2013,10,30,0.0,,Y
IDCJAC0009,86351,2013,10,31,0.4,1,Y
IDCJAC0009,86351,2013,11,01,0.0,,Y
IDCJAC0009,86351,2013,11,02,0.0,,Y
IDCJAC0009,86351,2013,11,03,0.6,1,Y
IDCJAC0009,86351,2013,11,04,2.4,1,Y
IDCJAC0009,86351,2013,11,05,0.0,,Y
IDCJAC0009,86351,2013,11,06,0.0,,Y
IDCJAC0009,86351,2013,11,07,0.0,,Y
IDCJAC0009,86351,2013,11,08,0.2,1,Y
IDCJAC0009,86351,2013,11,09,5.6,1,Y
IDCJAC0009,86351,2013,11,10,0.3,1,Y
IDCJAC0009,86351,2013,11,11,0.0,1,Y
IDCJAC0009,86351,2013,11,12,0.4,1,Y
IDCJAC0009,86351,2013,11,13,19.0,1,Y
IDCJAC0009,86351,2013,11,14,7.2,1,Y
IDCJAC0009,86351,2013,11,15,0.1,1,Y
IDCJAC0009,86351,2013,11,16,0.0,,Y
IDCJAC0009,86351,2013,11,17,0.3,1,Y
IDCJAC0009,86351,2013,11,18,0.0,,Y
IDCJAC0009,86351,2013,11,19,0.0,,Y
IDCJAC0009,86351,2013,11,20,0.0,,Y
IDCJAC0009,86351,2013,11,21,0.0,1,Y
IDCJAC0009,86351,2013,11,22,0.0,,Y
IDCJAC0009,86351,2013,11,23,1.8,1,Y
IDCJAC0009,86351,2013,11,24,12.0,1,Y
IDCJAC0009,86351,2013,11,25,0.4,1,Y
IDCJAC0009,86351,2013,11,26,0.0,,Y
IDCJAC0009,86351,2013,11,27,0.0,,Y
IDCJAC0009,86351,2013,11,28,0.0,1,Y
IDCJAC0009,86351,2013,11,29,8.6,1,Y
IDCJAC0009,86351,2013,11,30,0.0,,Y
IDCJAC0009,86351,2013,12,01,0.2,1,Y
IDCJAC0009,86351,2013,12,02,0.0,,Y
IDCJAC0009,86351,2013,12,03,0.0,,Y
IDCJAC0009,86351,2013,12,04,9.0,1,Y
IDCJAC0009,86351,2013,12,05,7.6,1,Y
IDCJAC0009,86351,2013,12,06,6.2,1,Y
IDCJAC0009,86351,2013,12,07,0.0,,Y
IDCJAC0009,86351,2013,12,08,0.0,,Y
IDCJAC0009,86351,2013,12,09,0.8,1,Y
IDCJAC0009,86351,2013,12,10,7.2,1,Y
IDCJAC0009,86351,2013,12,11,0.2,1,Y
IDCJAC0009,86351,2013,12,12,1.6,1,Y
IDCJAC0009,86351,2013,12,13,0.0,,Y
IDCJAC0009,86351,2013,12,14,0.0,,Y
IDCJAC0009,86351,2013,12,15,0.0,,Y
IDCJAC0009,86351,2013,12,16,0.0,,Y
IDCJAC0009,86351,2013,12,17,0.0,,Y
IDCJAC0009,86351,2013,12,18,0.0,,Y
IDCJAC0009,86351,2013,12,19,0.0,,Y
IDCJAC0009,86351,2013,12,20,0.0,,Y
IDCJAC0009,86351,2013,12,21,0.0,,Y
IDCJAC0009,86351,2013,12,22,0.7,1,Y
IDCJAC0009,86351,2013,12,23,1.0,1,Y
IDCJAC0009,86351,2013,12,24,1.0,1,Y
IDCJAC0009,86351,2013,12,25,0.0,,Y
IDCJAC0009,86351,2013,12,26,0.0,,Y
IDCJAC0009,86351,2013,12,27,0.0,,Y
IDCJAC0009,86351,2013,12,28,0.0,,Y
IDCJAC0009,86351,2013,12,29,0.0,,Y
IDCJAC0009,86351,2013,12,30,0.0,,Y
IDCJAC0009,86351,2013,12,31,0.0,,Y
IDCJAC0009,86351,2014,01,01,0.0,1,N
IDCJAC0009,86351,2014,01,02,5.6,1,N
IDCJAC0009,86351,2014,01,03,0.0,1,N
IDCJAC0009,86351,2014,01,04,0.0,1,N
IDCJAC0009,86351,2014,01,05,0.4,1,N
IDCJAC0009,86351,2014,01,06,0.6,1,N
IDCJAC0009,86351,2014,01,07,0.0,1,N
IDCJAC0009,86351,2014,01,08,0.0,1,N
IDCJAC0009,86351,2014,01,09,0.0,1,N
IDCJAC0009,86351,2014,01,10,0.0,1,N
IDCJAC0009,86351,2014,01,11,0.0,1,N
IDCJAC0009,86351,2014,01,12,0.0,1,N
